Place,Rent/m2
Adliswil,305
Aeugst am Albis,280
Bassersdorf,279
Benglen,276
Binz,275
Birmensdorf ZH,288
Bonstetten,271
Brüttisellen,256
Dällikon,245
Dietikon,267
Dietlikon,267
Dübendorf,293
Ebmatingen,275
Fällanden,276
Forch,320
Gattikon,300
Glattbrugg,236
Gockhausen,NA
Greifensee,251
Hedingen,269
Herrliberg,344
Kilchberg ZH,389
Kloten,287
Küsnacht ZH,372
Langnau am Albis,280
Maur,275
Nänikon,280
Nürensdorf,248
Oberhasli,268
Opfikon,286
Pfaffhausen,276
Regensdorf,264
Rümlang,263
Rüschlikon,381
Schlieren,271
Schwerzenbach,263
Stallikon,278
Tagelswangen,238
Thalwil,340
Uetliberg,324
Uitikon Waldegg,324
Unterengstringen,283
Urdorf,281
Volketswil,246
Wallisellen,278
Watt,264
Weiningen ZH,275
Zollikerberg,376
Zollikon,376
Zumikon,314
Zürich,409
